[2026-04-01 15:27:29.229] [info]    : Logger initialized with level: info
[2026-04-01 15:27:29.473] [info]    : Config loaded: /Users/dashygo/Dev/Hardware/RISC/sims/../build/config.json
[2026-04-01 15:27:29.473] [info]    : DEMU Simulator Initializing...
[2026-04-01 15:27:29.473] [info] hal: --- Device Map Summary ---
[2026-04-01 15:27:29.473] [info] hal: Active Devices: 4 / 4 ports
[2026-04-01 15:27:29.473] [info] hal: Port  0: imem                 [0x00000000 - 0x0003FFFF] (  262144 bytes)
[2026-04-01 15:27:29.473] [info] hal: Port  2: uart                 [0x10000000 - 0x10000FFF] (    4096 bytes)
[2026-04-01 15:27:29.473] [info] hal: Port  3: clint                [0x20000000 - 0x2000FFFF] (   65536 bytes)
[2026-04-01 15:27:29.473] [info] hal: Port  1: dmem                 [0x80000000 - 0x8003FFFF] (  262144 bytes)
[2026-04-01 15:27:29.473] [info]    : Resetting...
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    166 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    167 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    168 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    171 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    172 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    173 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    176 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    177 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    178 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    181 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    182 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    184 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    187 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    188 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    190 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    193 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    194 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    196 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    199 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    200 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    202 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    205 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    206 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    208 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    211 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    212 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    214 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    217 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    218 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    220 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    223 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    224 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    226 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    237 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    238 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    240 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    243 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    244 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    245 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    248 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    249 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    250 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    253 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    254 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    255 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    258 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    259 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    260 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    263 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    264 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    265 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    268 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    269 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    270 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    273 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    274 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    275 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    278 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    279 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    280 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    283 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    284 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    286 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    289 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    290 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    292 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    295 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    296 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    298 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    301 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    302 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    304 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    307 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    308 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    310 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    313 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    314 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    316 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    319 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    320 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    322 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    333 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    334 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    336 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    339 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    340 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    341 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    344 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    345 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    346 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    349 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    350 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    351 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    354 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
